,Price,Airline,flyTo,cityTo,fare_family,fare_classes,cityFrom,local_departure,local_arrival,distance,bags_price,flight_no
4046,212,['NK'],LGA,New York,,H,Chicago,2019-06-23T05:51:00.000Z,2019-06-23T09:01:00.000Z,1178.35,37,224
4047,212,['UA'],LGA,New York,,,Chicago,2019-06-23T12:00:00.000Z,2019-06-23T15:11:00.000Z,1178.35,22,1741
4048,212,['UA'],LGA,New York,,,Chicago,2019-06-23T19:00:00.000Z,2019-06-23T22:11:00.000Z,1178.35,22,1823
4049,212,['UA'],LGA,New York,,,Chicago,2019-06-23T15:00:00.000Z,2019-06-23T18:11:00.000Z,1178.35,22,1642
4050,212,['UA'],LGA,New York,,,Chicago,2019-06-23T16:00:00.000Z,2019-06-23T19:13:00.000Z,1178.35,22,639
4051,212,['NK'],LGA,New York,,H,Chicago,2019-06-23T17:44:00.000Z,2019-06-23T21:00:00.000Z,1178.35,37,630
4052,212,['UA'],LGA,New York,,,Chicago,2019-06-23T17:00:00.000Z,2019-06-23T20:16:00.000Z,1178.35,22,263
4053,211,['DL'],LGA,New York,,,Chicago,2019-06-23T20:30:00.000Z,2019-06-24T00:01:00.000Z,1178.35,25,907
4054,246,['DL'],LGA,New York,,,Chicago,2019-06-23T17:30:00.000Z,2019-06-23T20:59:00.000Z,1178.35,25,732
4055,246,['DL'],LGA,New York,,,Chicago,2019-06-23T19:30:00.000Z,2019-06-23T23:01:00.000Z,1178.35,25,301
4056,246,['DL'],LGA,New York,,,Chicago,2019-06-23T18:30:00.000Z,2019-06-23T22:03:00.000Z,1178.35,25,338
4057,246,['DL'],LGA,New York,,,Chicago,2019-06-23T16:30:00.000Z,2019-06-23T20:03:00.000Z,1178.35,25,984
4058,250,['UA'],LGA,New York,,,Chicago,2019-06-23T21:05:00.000Z,2019-06-24T00:16:00.000Z,1178.35,22,2422
4059,250,['UA'],LGA,New York,,,Chicago,2019-06-23T12:30:00.000Z,2019-06-23T15:42:00.000Z,1178.35,22,5364
